dia,mp10_0,mp25_0,nox_0,o3_0,i1
2019-06-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-07,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-06-08,N2 - Moderada,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-06-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-11,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-06-12,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,ALTA
2019-06-13,N1 - Boa,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-06-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-19,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,ALTA
2019-06-20,N1 - Boa,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA
2019-06-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-23,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-06-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-26,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-06-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-06-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-06-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-06-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-07-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-07-02,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-07-03,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-07-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
